id,name,latitude,longitude,address,menu,hours,phone
0,"가나 1",37.5665,126.978,"서울시 중구 을지로 100","커피, 케이크","9:00 AM - 9:00 PM","02-1234-5678"
1,"오나 2",37.5700,126.985,"서울시 강남구 테헤란로 200","샌드위치, 음료","10:00 AM - 8:00 PM","02-9876-5432"
2,"매장 3",37.5550,126.981,"서울시 종로구 세종대로 50","파스타, 와인","11:00 AM - 10:00 PM","02-1111-2222"
3,"가나 2",37.5665,126.978,"서울시 중구 을지로 100","커피, 케이크","9:00 AM - 9:00 PM","02-1234-5678"
4,"오나 3",37.5700,126.985,"서울시 강남구 테헤란로 200","샌드위치, 음료","10:00 AM - 8:00 PM","02-9876-5432"
5,"매장 4",37.5550,126.981,"서울시 종로구 세종대로 50","파스타, 와인","11:00 AM - 10:00 PM","02-1111-2222"
6,"가나 3",37.5665,126.978,"서울시 중구 을지로 100","커피, 케이크","9:00 AM - 9:00 PM","02-1234-5678"
7,"오나 4",37.5700,126.985,"서울시 강남구 테헤란로 200","샌드위치, 음료","10:00 AM - 8:00 PM","02-9876-5432"
8,"매장 5",37.5550,126.981,"서울시 종로구 세종대로 50","파스타, 와인","11:00 AM - 10:00 PM","02-1111-2222"
9,"가나 4",37.5665,126.978,"서울시 중구 을지로 100","커피, 케이크","9:00 AM - 9:00 PM","02-1234-5678"
10,"오나 5",37.5700,126.985,"서울시 강남구 테헤란로 200","샌드위치, 음료","10:00 AM - 8:00 PM","02-9876-5432"
11,"매장 6",37.5550,126.981,"서울시 종로구 세종대로 50","파스타, 와인","11:00 AM - 10:00 PM","02-1111-2222"
